Week,Rating,From Date,To Date
1,5.627123580344319,2015-07-20,2015-07-27
2,4.812697842588495,2015-07-28,2015-08-04
3,5,2015-08-06,2015-08-13
4,5.248334551236606,2015-08-17,2015-08-24
5,5.5996933889487135,2015-08-25,2015-09-01
6,5.150473715632401,2015-09-02,2015-09-09
7,4.494588072031059,2015-09-22,2015-09-29
8,5.300960978922934,2015-10-01,2015-10-08
9,5.334327099289035,2015-10-09,2015-10-16
10,4.5070718060502335,2015-10-20,2015-10-27
11,5,2015-10-30,2015-11-06
12,5.308043955620093,2015-11-09,2015-11-16
13,3.533146363308451,2015-11-17,2015-11-24
14,6.483093454658422,2015-11-26,2015-12-03
15,5.751035337460604,2015-12-04,2015-12-11
16,4.7083779089133495,2015-12-14,2015-12-21
17,5.5491801347088385,2015-12-27,2016-01-03
18,5.205759903573993,2016-01-04,2016-01-11
19,6.231586481655088,2016-01-12,2016-01-19
20,5.395283579447536,2016-01-20,2016-01-27
21,5.736218803260075,2016-01-28,2016-02-04
22,6.0045971317307645,2016-02-05,2016-02-12
23,5.062670932549502,2016-02-14,2016-02-21
24,5.601631152443247,2016-02-22,2016-02-29
25,6.229404358980455,2016-03-01,2016-03-08
26,5.209945950639429,2016-03-09,2016-03-16
27,6.11082856498936,2016-03-17,2016-03-24
28,5.869587627747133,2016-03-25,2016-04-01
29,5.928314905241217,2016-04-02,2016-04-09
30,5.662146239211959,2016-04-10,2016-04-17
31,5.258445028223484,2016-04-18,2016-04-25
32,5.7241610530859175,2016-04-26,2016-05-03
33,5.617796489757492,2016-05-04,2016-05-11
34,5.493244983961375,2016-05-12,2016-05-19
35,5.669331087191539,2016-05-20,2016-05-27
36,5.516268719985633,2016-05-28,2016-06-04
37,5.591696687333635,2016-06-05,2016-06-12
38,5.496379107793411,2016-06-13,2016-06-20
39,5.964986763560278,2016-06-21,2016-06-28
40,5.9428156693904715,2016-06-29,2016-07-06
41,5.503755239790403,2016-07-07,2016-07-14
42,5.583493723705894,2016-07-15,2016-07-22
43,5.284370371046134,2016-07-24,2016-07-31
44,5.405368722055182,2016-08-01,2016-08-08
45,5.702101559362878,2016-08-09,2016-08-16
46,5.578286964508997,2016-08-17,2016-08-24
47,5.2415290270558526,2016-08-25,2016-09-01
48,5.988156282730074,2016-09-02,2016-09-09
49,5.591912603103308,2016-09-10,2016-09-17
50,5.6194481510738274,2016-09-18,2016-09-25
51,4.9862264444366895,2016-09-26,2016-10-03
52,5.534370196789093,2016-10-04,2016-10-11
53,5.108669003805703,2016-10-12,2016-10-19
54,5.054579436515175,2016-10-20,2016-10-27
55,5.442617552440123,2016-10-28,2016-11-04
56,5.935413092889166,2016-11-05,2016-11-12
57,5.650736216483744,2016-11-13,2016-11-20
58,5.570363743950661,2016-11-21,2016-11-28
59,5.005427978744396,2016-11-30,2016-12-07
60,5.832843852418002,2016-12-08,2016-12-15
61,5.066168666720527,2016-12-17,2016-12-24
62,5.1195543222620685,2016-12-26,2017-01-02
63,5.769946262420444,2017-01-04,2017-01-11
64,5.253568648253245,2017-01-12,2017-01-19
65,5.593311234156078,2017-01-20,2017-01-27
66,6.062265458137744,2017-01-28,2017-02-04
67,6.2714910429465744,2017-02-05,2017-02-12
68,5.8757953387341875,2017-02-13,2017-02-20
69,5.529160735446351,2017-02-21,2017-02-28
70,5.576678950953846,2017-03-01,2017-03-08
71,5.564555012845862,2017-03-09,2017-03-16
72,5.539796109089691,2017-03-17,2017-03-24
73,5.510587050486008,2017-03-25,2017-04-01
